NCT ID,Study Title,Conditions,Inclusion Criteria,Exclusion Criteria,Interventions,Study Type,Overall Status
NCT02777580,STrategic Reperfusion in Elderly Patients Early After Myocardial Infarction,Myocardial Infarction,"1. Age equal or greater than 60 years
2. Onset of symptoms \< 3 hours prior to randomisation
3. 12-lead ECG indicative of an acute STEMI (ST-elevation will be measured from the J point; scale: 1 mm per 0.1 mV):

   * ≥ 2 mm ST-elevation across 2 contiguous precordial leads (V1-V6) or leads I and aVL for a minimum combined total of ≥ 4 mm ST-elevation or
   * ≥ 2 mm ST-elevation in 2 contiguous inferior leads (II, III, aVF) for a minimum combined total of ≥ 4 mm ST-elevation
4. Informed consent received","1. 1. Expected performance of PCI \< 60 minutes from diagnosis (qualifying ECG) or inability to arrive at the catheterisation laboratory within 3 hours
2. Previous CABG
3. Left bundle branch block or ventricular pacing
4. Patients with cardiogenic shock - Killip Class 4
5. Patients with a body weight \< 55 kg (known or estimated)
6. Uncontrolled hypertension, defined as sustained blood pressure ≥ 180/110 mm Hg (systolic BP ≥ 180 mm Hg and/or diastolic BP ≥ 110 mm Hg) prior to randomisation
7. Known prior stroke or TIA
8. Recent administration of any i.v. or s.c. anticoagulation within 12 hours, including unfractionated heparin, enoxaparin, and/or bivalirudin or current use of oral anticoagulation (i.e. warfarin or a NOACs)
9. Active bleeding or known bleeding disorder/diathesis
10. Known history of central nervous system damage (i.e. neoplasm, aneurysm, intracranial or spinal surgery) or recent trauma to the head or cranium (i.e. \< 3 months)
11. Major surgery, biopsy of a parenchymal organ, or significant trauma within the past 2 months (this includes any trauma associated with the current myocardial infarction)
12. Clinical diagnosis associated with increased risk of bleeding including known active peptic ulceration and/or neoplasm with increased bleeding risk
13. Prolonged cardiopulmonary resuscitation (\> 2 minutes) within the past 2 weeks
14. Known acute pericarditis and/or subacute bacterial endocarditis
15. Known acute pancreatitis or known severe hepatic dysfunction, including hepatic failure, cirrhosis, portal hypertension (oesophageal varices) and active hepatitis
16. Dementia
17. Known severe renal insufficiency
18. Previous enrolment in this study or treatment with an investigational drug or device under another study protocol in the past 7 days
19. Known allergic reactions to tenecteplase, clopidogrel, enoxaparin and aspirin
20. Inability to follow the protocol and comply with follow-up requirements or any other reason that the investigator feels would place the patient at increased risk if the investigational therapy is initiated.","Tenecteplase, Clopidogrel, Coronary angiography, Primary PCI",INTERVENTIONAL,COMPLETED
NCT02290080,Determination of the Role of Oxygen in Suspected Acute Myocardial Infarction by Biomarkers,"Acute Myocardial Infarction (AMI), Acute Coronary Syndrome (ACS), ST Elevation (STEMI) Myocardial Infarction, Ischemic Reperfusion Injury, Non-ST Elevation (NSTEMI) Myocardial Infarction, Angina, Unstable","* symptoms (chest pain, dyspnea) indicating acute myocardial ischemia within the last 6 hours
* ECG changes (ST-segment elevation ≥ 2 mm V1-V4, or ≥ 1 mm in other leads, ST-segment depression \>1 mm in any lead, negative T-wave in leads V2-V6, pathological Q-wave in at least 2 adjacent leads), left bundle branch block

and/or elevated levels of cardiac troponin levels in the emergency department indicating acute myocardial ischemia

* oxygen saturation ≥90% (pulse oximeter)
* age ≥30","* unwillingness to participate
* inability to comprehend given information
* continuous oxygen delivery at home prior to inclusion
* cardiac arrest prior to inclusion",Oxygen,INTERVENTIONAL,COMPLETED
NCT00367991,Effects of Recombinant Human Erythropoietin on Platelet Function in Patients With Acute Myocardial Infarction,Myocardial Infarction,"* Age 21-75 years
* Clinical evidence of acute myocardial infarction (MI) with total or sub-total occlusion on angiogram
* Status post percutaneous revascularization procedure for acute MI with TIMI 3 flow
* Ongoing clinically-indicated treatment with aspirin, thienopyridines","* Hemodynamic instability/shock or severe congestive heart failure
* Time from onset of chest pain to revascularization procedure \> 16 hours
* Use of intravenous thrombolytic agents for treatment of MI
* Known need for additional revascularization procedures","Recombinant human erythropoietin alfa (drug), Placebo",INTERVENTIONAL,COMPLETED
NCT01385631,Ezetimibe In Addition To Atorvastatin Therapy On The Plaque Composition In Patients With Acute Myocardial Infarction.,ST-Segment Elevation Myocardial Infarction,"* ST segment elevation acute myocardial infarction
* 20% \< angiographic diameter stenosis \< 50% on a not previously revascularized native coronary artery
* Statin naïve
* In fertile women: Ongoing contraception with IUD or hormonal contraception.","* Pharmacologic lipid lowering treatment before index hospitalization
* Atrial fibrillation, not well rate-controlled
* Ventricle frequency variation with more than a factor 2 over 1 minute
* Unconscious patients
* History of statin induced myopathy, or serious hypersensitivity reaction to other HMG-CoA reductase inhibitors (statins) including Atorvastatin.
* Pregnant women, women who are breast feeding, and women of childbearing potential who are not using chemical or mechanical contraception or have a positive serum pregnancy test (a serum-human chorionic gonadotrophin \[Beta-HCG\] analysis)
* History of malignancy (unless a documented disease free period exceeding 5-years is present) with the exception of basal cell or squamous cell carcinoma of the skin. Women with a history of cervical dysplasia would be permitted to enter the study provided they had 3 consecutive clear Papanicolaou (Pap) smears
* Uncontrolled hypothyroidism (TSH \> 1.5xULN)
* Abnormal LFT's
* History of alcohol or drug abuse within the last 5 years (this may affect compliance)
* Current active liver disease (ALT/SGPT \>2xULN or severe hepatic impairment (to protect patient safety as directed on the labels of currently approved statins)
* Unexplained creatine kinase (CK \> 3xULN) (To protect patient safety) (will be increased at baseline because of acute ST segment elevation myocardial infarction a few days before enrolment)
* Serum creatinine \>176mmol/L (2.0mg/dL) (unless the protocol specifically aims to investigate a chronic renal disease population)
* Participation in another investigational drug study less than 4 weeks before enrolment in the study, or according to subjects local ethics committee requirements where a larger period is stipulated (to avoid potential misinterpretation of overlapping adverse events)
* Treatments with cyclosporine
* Treatment with gemfibrozil","Ezetimibe, Placebo",INTERVENTIONAL,COMPLETED
NCT00605631,The Prevention of Myocardial Enlargement and Dilatation Post Myocardial Infarction Study,Post Myocardial Infarction,"* Age 18 or above, or of legal age to give informed consent specific to state and national law
* Willing and capable of providing informed consent, participating in all testing associated with this clinical investigation at an approved clinical investigational center and at the intervals defined by this protocol
* Patient has had a clinically documented anterior myocardial infarction which occurred within the last 14 days
* Measured peak CK \> 2000 mU/mL within 72 hours of MI.
* QRS duration \< 120 ms measured by 12-lead ECG at any time after most recent MI","* Patient has atrial tachyarrhythmia that is permanent (i.e., does not terminate spontaneously and cannot be terminated with medical intervention) or persistent (i.e., can be terminated with medical intervention, but does not terminate spontaneously) at time of enrollment
* Patient is in cardiogenic shock defined by systolic blood pressure \< 90 mmHg and on pressor/inotrope medications at time of potential enrollment
* Patient has 2 or 3 degree heart block at time of potential enrollment
* Patient has undergone or is scheduled for a coronary artery bypass graft procedure, 30 days before or 30 days after date of potential enrollment
* Patient has a known life expectancy of less than 6 months due to non cardiac causes
* Patient has marked renal dysfunction defined as Creatinine \> 2.5 mg/dL at time of enrollment
* Patient enrolled in any concurrent study that may confound the results of the study
* Patient is in class IV heart failure
* Patient is on the heart transplant list
* Patient already has an implanted pacemaker, ICD, or CRT device
* Patient is pregnant or plans to be pregnant during the course of the study
* Both",Cardiac pacing using any Guidant/Boston Scientific Implantable ICD or CRT-D System and any Guidant/Boston Scientific Intracardiac Lead System,INTERVENTIONAL,COMPLETED
NCT00638976,INSTANT: INtegrilin Plus STenting to Avoid Myocardial Necrosis Trial,Cardiovascular Disease,"Inclusion Criteria:

Candidates for this study must meet all of the following criteria:

* Male or female able to understand and sign a witnessed informed consent
* Age ≥ 18 yo
* Patients with stable (CCS 1-4) or unstable angina pectoris (but with the most recent anginal episode occurring \>48 hours before the procedure) or documented silent ischemia
* Stable Hemodynamic conditions (systolic BP \> 100 HR \> 40 \< 100).
* No clinical and ECG changes suggestive of ongoing acute or recent (\<48 hours) myocardial infarction.
* Angiographic evidence of a de novo lesion \> 50% requiring implantation of two DES in overlapping with a total stent length \> 33 mm and reference vessel diameter between 2.5 and 4.0 mm (by visual estimation) in one coronary vessel. Multiple lesions in the same vessels can be included but at least one lesion should require implantation of two DES in overlapping with a total stent length \> 33 mm. The definition of multivessel disease requires an intention to treat at least two lesions (with a least one with the characteristics reported above) in two different major epicardial segments. For example, the presence of a lesion in the left anterior descending artery and in the obtuse marginal or the presence of a lesions in the right postero-lateral branch and in a diagonal branch will qualify as multivessel. The presence of lesions in the left anterior descending artery and in the diagonal branch will not qualify as multivessel. Bifurcation lesions and ostial lesions can be included, but only if at least two DES in overlapping with a total stent length \> 33 mm are implanted in the same branch. When treating diffuse lesion in the same vessel, overlapping stenting is recommended with high pressure (\>14 atm post-dilation) of the overlap zone. There is no maximum stent length to treat one coronary vessel.",":

* Female sex with childbearing potential
* Age \<18 years
* Ongoing or recent episode (\<48 hours) of unstable coronary artery disease (including both ST-elevation and non-ST-elevation acute coronary syndromes)
* Administration of any GP IIb/IIIa inhibitors during the previous 2 weeks
* Serum creatinine \>2.5 mg/dl or with a creatinine clearance \<40mL/min
* Ongoing serious bleeding or bleeding diathesis
* Previous stroke in the last 6 months
* Major surgery within the previous 6 weeks
* Platelet count \<100,000 per mm3
* Ejection Fraction below 30%
* The patient has a known hypersensitivity or contraindication to aspirin, heparin, clopidogrel, or sensitivity to contrast which cannot be adequately pre-medicated.
* Hemodynamic instability (systolic blood pressure \< 100 mm Hg; heart rate \< 40 bpm or \>100 bpm; complex ventricular arrhythmias; AV block) requiring balloon counterpulsation or inotropic support.
* The patient is simultaneously participating in another device or drug study. Patient must have completed the follow-up phase of any previous study at least 30 days prior to enrolment in this study.
* Positive clinical history for intracranial neoplasia, AV malformation, aneurysm.
* INR ≥ 2.0 or prothrombin time 1.2 times upper limit of normality
* Clinically manifested reduced liver function
* Programmed surgery within six months

Angiographic Exclusion Criteria:

* DES implantation in a chronic total occlusion or for the treatment of in-stent restenosis.
* Treatment of lesions where the operator feels necessary the usage of rotactional atherectomy
* Vessel size \< 2.25 mm or \> 5 mm (by visual estimation).
* Previous implantation of a bare/DES in the target lesion","eptifibatide, placebo",INTERVENTIONAL,COMPLETED
NCT04970576,Rivaroxaban in Left Ventricular Thrombus,"Acute Coronary Syndrome, Left Ventricular Thrombus","* Patients of acute coronary syndrome with LV thrombus
* Hemodynamically stable
* Willing to participate","* Prior history of cardiomyopathy
* Anticoagulant contraindications
* Prior history of stroke with residual neurological deficit
* Valvular atrial fibrilation
* Pregnancy
* Mentally retarded
* Deranged liver function tests (LFTS)
* Creatinine Clearance \<50 ml","Rivaroxaban, Warfarin",INTERVENTIONAL,COMPLETED
NCT00222573,Efficacy and Safety of Adding Clopidogrel to Aspirin or Use of Metoprolol in Myocardial Infarction,Acute Myocardial Infarction,"* Patients presenting with ST elevation, left bundle branch block or ST depression within 24 hours of the onset of the symptoms of suspected acute MI","* clear indications for, or contraindications to, any of the study treatments",clopidogrel and metoprolol,INTERVENTIONAL,COMPLETED
NCT01208727,Post Cond No Reflow,Myocardial Reperfusion Injury,"* Patients \> 18 years old,
* Male or female,
* Presenting first myocardial infarction, with the beginning of pains \< 12 hours,
* Requiring a revascularisation by primary angioplasty or "" rescue "" (after failure of thrombolysis) on IVA or RCA (not CA).
* Artery guilty with TIMI flow = 0","* cardiac arrest before the angioplasty,
* Cardiogenic shock
* Occlusion of the artery circumflex responsible for the infarction
* Magnetic resonance imaging: contre indication",postconditioning,INTERVENTIONAL,COMPLETED
NCT00421876,GlObal Secondary Prevention strategiEs to Limit Event Recurrence After Myocardial Infarction. GOSPEL Study,Myocardial Infarction,"* Recent myocardial infarction (within 3 months after the index event)
* Standard rehabilitation program of 3-6 weeks performed
* Informed consent (obtained before any study specific procedure)","* Age \> 75 years
* Any condition that in the opinion of the investigator would jeopardize the evaluation of efficacy or be associated with poor adherence to the protocol;
* Presence of any non-cardiac disease (e.g. cancer) that is likely to significantly shorten life expectancy",multifactorial continued educational - behavioural programme,INTERVENTIONAL,COMPLETED
NCT00251576,Aggrastat to Zocor (AtoZ) - the Use of Two Approved Drugs to Treat Patients Who Have Experienced Chest Pain or a Heart Attack (0733-180),Acute Coronary Syndrome,"* A-Phase: Chest pain at rest for 10 minutes, EKG changes or elevated cardiac blood work
* Z-Phase: elevated cholesterol , plus at least one risk factor ( \> 70 years old, diabetes, history of prior heart or blood vessel disease, chest pain with EKG changes, elevation of cardiac lab work or positive cardiac tests , at least 2 heart vessels blocked \[one \>= 75% and one \>= 50%\])","* A-Phase: use of some specific cardiac drugs, high risk bleeding, prior blood clotting disorders
* Z-Phase: elevation in certain cardiac blood tests, no significant heart damage at catheterization, planned cardiac surgery or specific cardiac drugs that lower cholesterol levels, within 6 weeks of enrollment","A-Phase: tirofiban; Z-Phase simvastatin, Duration of Treatment: A-Phase: minimum suggested 48 hours, maximum suggested 108 hours. Z-Phase: 2 years, Comparator: A-Phase: low molecular weight heparin, unfractionated heparin, Duration of Treatment: A-Phase: low molecular weight heparin, 2 to 8 days; unfractionated heparin, minium suggested 48 hours, maximum 108 hours, Duration of Treatment: Z-Phase, 2 years.",INTERVENTIONAL,COMPLETED
NCT00684060,Use of Adult Autologous Stem Cells in Treating People 2 to 3 Weeks After Having a Heart Attack (The Late TIME Study),Left Ventricular Dysfunction,"Inclusion criteria

1. Patients at least 21 years of age.
2. Patients with first acute MI and subsequent successful primary percutaneous coronary intervention (PCI) in an artery at least 2.5 mm in diameter occurring two to three weeks before recruitment.
3. No contraindications to undergoing cell therapy procedure within two to three weeks following AMI and PCI.
4. Hemodynamic stability as defined as no requirement for IABP, inotropic or blood pressure supporting medications.
5. Ejection fraction following reperfusion with PCI \<=45% as assessed by echocardiography.
6. Consent to protocol and agree to comply with all follow-up visits and studies.
7. Women of child bearing potential willing to use an active form of birth control.","Patients will be excluded from the study if they meet any of the following conditions:

1. History of sustained ventricular arrhythmias not related to their AMI (evidenced by previous holter monitoring and/or medication history for sustained ventricular arrhythmias in patient's medical chart).
2. Require CABG or PCI due to the presence of residual coronary stenosis \>70% luminal obstruction in the non-infarct related vessel (Additional PCI of non-culprit vessels may be performed prior to enrollment).
3. History of any malignancy within the past five years excluding non-melanoma skin cancer or cervical cancer in-situ.
4. History of chronic anemia (hemoglobin (Hb) \<9.0 mg/dl).
5. History of thrombocytosis (platelets \>500k).
6. History of thrombocytopenia in the absence of recent evidence that platelet counts are normal
7. Known history of elevated INR (PT) or PTT.
8. Life expectancy less than one year.
9. History of untreated alcohol or drug abuse.
10. Currently enrolled in another Investigational drug or device trial
11. Previous CABG.
12. Previous MI resulting in LV dysfunction (LVEF \<55%)
13. History of stroke or transient ischemic attack (TIA) within the past six months.
14. History of severe valvular heart disease (aortic valve area \<1.0 cm2 or \>3+ mitral regurgitation).
15. Pregnancy or breast feeding
16. Subjects with a known history of HIV, or has active hepatitis B, active hepatitis C, or active tuberculosis (TB)
17. Patients with active inflammatory or autoimmune disease on chronic immunosuppressive therapy.
18. Contraindications to cMRI.
19. Previous radiation to the pelvis with white blood cell count (WBC) and platelet counts below hospital specific normal values.
20. Women child bearing potential not willing to practice an active form of birth control.
21. Chronic liver disease that might interfere with survival or treatment with cell therapy.
22. Chronic renal insufficiency as defined by a creatinine ≥2.0 mg/dL or requires chronic dialysis.","Adult stem cells, Placebo",INTERVENTIONAL,COMPLETED
